Base Unit of Measure,Calendar Month,Calendar Week,Country,Currency_GR value pstg. date,Currency_Net order value,Date on which the purchasing document was created,Evaluated Receipt Settlement_ERS,Final Invoice Indicator,Fiscal year,Fiscal year/period,Fiscal year variant,Goods Receipt Indicator,GR-Based Invoice Verification,Inbound Delivery Date,InfoProvider,Invoice Receipt Indicator,Item Category in Purchasing Document,Item number of purchasing document,Item of Principal Agreement,Local Currency,Material Group,Meeting ID,Name of requisitioner/requester,Number of Principal Purchase Agreement,Order unit,Planned delivery date of document schedule line,Planned Delivery Month,Plant,Plant Material,PO Approver ID,PO Item,PO Release date,PO Release Indicator,PO Requisitioner Personnel Number,Posting Date in the Document,Product Description,Puchasing document category,Purchase Document Date,Purchase Order Currency,Purchasing document number,Purchasing Document Type,Purchasing Group,Purchasing Organization,Request Transaction Sequence Number,Schedule line date,Schedule line number,Statistics date,Status of purchasing document,Trial Alias,Unit Goods Receipt Quantity in Base Unit,Unit Invoiced Quantity in Base Unit,Unit Open Quantity,Unit Order Quantity in Base Unit,Unit Order quantity,Unit PO quantity,Unit Quantity Received
EA,11,47,Barbados,8939.75,12503.26,2024-11-19,Yes,Entire,Time,Card,Half,Yes,System,2024-12-06,302887214,Account,Such,74,First,GBP,Whether,212440802,Kimberly Patton,727205070,EA,2024-12-26,Public,LAT04,MAT-49508,EMP692415,71,2024-11-18,Pending,490801024,2024-11-19,Able Patch,Pm,2024-11-19,EUR,1704972078,FO,PG83,NA01,566800028,2024-12-06,1,2024-05-05,Closed,CT-6592-IDY,2,6,10,12,43,12,11
EA,9,36,Haiti,33218.62,8110.08,2025-09-04,No,Why,To,Easy,Inside,Yes,Population,2025-09-27,813862608,Provide,Step,66,Floor,EUR,Social,523238346,Christine West,141637638,EA,2025-10-06,Only,US01,MAT-22152,EMP221946,68,2025-09-03,Pending,547993775,2025-09-04,Culture Solution,Argue,2025-09-04,EUR,7236675469,NB,PG55,EU01,267362872,2025-09-27,5,2026-10-26,Closed,CT-3472-PNG,40,202,211,242,128,242,237
EA,10,43,San Marino,38750.73,22046.61,2025-10-20,No,Enough,Protect,Throughout,Region,No,Including,2025-11-13,245732224,Next,Program,80,Feel,USD,Position,552244871,Luke Anderson,339990883,EA,2024-09-23,Artist,EU02,MAT-15875,EMP548935,27,2025-10-19,Released,857770519,2025-10-20,Happy Solution,Surface,2025-10-20,EUR,2675341096,FO,PG13,NA01,143660651,2025-11-13,2,2026-05-20,Open,CT-8742-ECD,159,18,2,171,15,171,166
EA,10,40,Cuba,47225.38,14640.15,2025-10-03,No,Often,Religious,Listen,That,Yes,Book,2025-10-16,681234953,Poor,Local,87,Country,EUR,Note,504713354,Carla Schroeder,227674760,EA,2026-10-13,Scene,US01,MAT-59372,EMP871659,72,2025-10-02,Released,768796508,2025-10-03,Issue Patch,Than,2025-10-03,GBP,7864007097,FO,PG15,EU01,382799207,2025-10-16,1,2024-11-05,Closed,CT-7487-KNX,21,10,8,23,187,23,18
EA,4,15,Italy,36052.24,25331.72,2025-04-08,No,It,Senior,Financial,Day,Yes,Out,2025-04-23,753210974,Seem,Join,72,Available,USD,Edge,958719642,Leslie Wise MD,710420219,EA,2025-08-02,Section,EU02,MAT-79992,EMP401761,77,2025-04-07,Released,154448610,2025-04-08,Anyone Tablet,Whatever,2025-04-08,GBP,9724588149,NB,PG13,NA01,618804563,2025-04-23,2,2026-03-16,Open,CT-6551-IBW,144,171,145,175,36,175,171
EA,2,8,Albania,14689.52,25733.82,2025-02-23,No,Threat,Official,Financial,Political,No,Right,2025-03-24,938441474,Focus,Order,87,Structure,JPY,Doctor,103123983,Lynn Love,925298322,EA,2025-04-24,Lose,EU02,MAT-31615,EMP541213,72,2025-02-22,Released,302121523,2025-02-23,Trouble Capsule,Another,2025-02-23,USD,2140771439,FO,PG49,NA01,178792724,2025-03-24,4,2026-01-26,Open,CT-9781-BYC,26,63,49,107,203,107,107
EA,12,52,Pitcairn Islands,38366.86,36480.6,2024-12-27,No,Under,Provide,Total,Side,Yes,Wall,2025-01-18,682353494,Century,Build,16,Early,JPY,Everybody,601831910,Elizabeth Rowe,113250825,EA,2024-08-06,Standard,AP03,MAT-49651,EMP516693,85,2024-12-26,Released,698086326,2024-12-27,High Injection,Article,2024-12-27,GBP,7821036344,FO,PG61,NA01,216254662,2025-01-18,2,2024-05-31,Closed,CT-9831-IEW,13,0,12,16,298,16,12
EA,4,15,Niger,12778.2,11035.13,2025-04-11,No,Land,Already,Court,Seven,No,Example,2025-05-02,493825826,Wife,Somebody,50,Government,GBP,Summer,349574847,Kyle Smith,782972793,EA,2025-01-17,Threat,LAT04,MAT-66257,EMP731138,83,2025-04-10,Pending,286541641,2025-04-11,Hundred Solution,Sure,2025-04-11,USD,5677486333,FO,PG86,NA01,304325977,2025-05-02,1,2024-01-26,Closed,CT-7484-BIH,2,184,101,229,101,229,229
EA,9,39,San Marino,15087.04,9278.66,2025-09-26,No,Former,Beat,Pretty,Exactly,Yes,Reach,2025-10-09,730673607,Federal,Often,24,Goal,USD,Back,783721000,Caitlin Leach,787370720,EA,2025-11-23,Happen,LAT04,MAT-16848,EMP971136,20,2025-09-25,Pending,302680859,2025-09-26,Blue Patch,Rich,2025-09-26,GBP,6070701390,NB,PG74,EU01,197165483,2025-10-09,5,2026-09-03,Closed,CT-8742-ECD,10,15,19,20,330,20,19
EA,3,11,Libyan Arab Jamahiriya,20060.71,6011.76,2025-03-14,No,Manager,Skin,Close,Main,Yes,Yard,2025-04-05,207098728,Would,Feel,36,People,JPY,Claim,740716973,Frank Buchanan,876426952,EA,2026-04-13,Environmental,US01,MAT-73628,EMP826009,10,2025-03-13,Released,213232838,2025-03-14,Health Solution,Amount,2025-03-14,USD,8979597415,NB,PG99,NA01,132901276,2025-04-05,1,2026-01-23,Open,CT-3230-HFO,1,20,2,67,220,67,66
EA,12,50,Korea,33700.25,4077.38,2024-12-12,No,Last,Writer,Health,International,Yes,Everybody,2024-12-27,922131522,Page,News,10,Able,USD,Street,444943835,Jose Ramirez,803506072,EA,2024-04-15,Expert,EU02,MAT-15875,EMP343696,48,2024-12-11,Released,167164103,2024-12-12,Happy Solution,Sit,2024-12-12,EUR,5920503518,NB,PG80,NA01,850572147,2024-12-27,3,2026-08-27,Closed,CT-8742-ECD,58,79,45,79,179,79,75
EA,10,42,Guinea-Bissau,25384.39,22710.55,2025-10-15,Yes,Body,Camera,Shake,Less,No,Face,2025-11-02,839057932,Hope,Situation,71,Make,GBP,Box,133681200,Joseph Robinson,626982378,EA,2026-08-27,Computer,EU02,MAT-97442,EMP954864,12,2025-10-14,Released,969755936,2025-10-15,Common Patch,Though,2025-10-15,GBP,9953458878,FO,PG48,EU01,823102411,2025-11-02,2,2025-06-03,Open,CT-2004-PSX,25,156,55,237,436,237,234
EA,3,12,Liechtenstein,20261.06,22040.78,2025-03-19,Yes,To,Public,Accept,Economy,No,Red,2025-03-30,445052731,Box,Whatever,81,Like,JPY,Country,559397654,Nancy Stevenson,841629509,EA,2024-04-07,As,US01,MAT-86920,EMP570826,49,2025-03-18,Released,489824513,2025-03-19,Various Solution,Team,2025-03-19,EUR,9612891892,FO,PG74,EU01,395718212,2025-03-30,1,2025-03-28,Closed,CT-8970-PLO,14,14,142,190,313,190,186
EA,3,13,Russian Federation,14711.82,28927.64,2025-03-29,Yes,Theory,Sure,Generation,Trade,Yes,Body,2025-04-22,136144096,Across,Democratic,85,Drive,EUR,Risk,198656994,Kimberly Wagner,756230502,EA,2026-05-27,Point,US01,MAT-22108,EMP837624,90,2025-03-28,Released,515891232,2025-03-29,Win Injection,Everything,2025-03-29,EUR,9906991915,NB,PG95,EU01,145339110,2025-04-22,2,2026-09-03,Open,CT-6910-RDE,38,22,45,54,365,54,51
EA,12,51,San Marino,33045.44,40450.46,2024-12-16,Yes,Poor,Trouble,Night,Yard,No,Animal,2025-01-07,253549915,Player,Class,67,According,GBP,Task,895957893,Michael Allen,118748084,EA,2025-07-15,Street,EU02,MAT-47254,EMP677926,62,2024-12-15,Pending,975219232,2024-12-16,Article Tablet,Film,2024-12-16,EUR,8268593383,FO,PG52,NA01,867931351,2025-01-07,1,2024-09-20,Open,CT-8742-ECD,37,88,29,212,359,212,208
EA,1,4,Estonia,7029.36,10103.3,2025-01-22,No,Newspaper,Student,Treatment,Past,Yes,Reveal,2025-02-16,142237151,Data,Join,27,Final,GBP,Player,134739575,Shelly Morris PhD,553624351,EA,2024-04-25,Own,EU02,MAT-54383,EMP104680,14,2025-01-21,Pending,862957764,2025-01-22,Agency Injection,Friend,2025-01-22,USD,4722984913,NB,PG32,NA01,835826621,2025-02-16,3,2024-09-01,Open,CT-3636-AVP,8,31,47,98,289,98,93
EA,7,28,Madagascar,23908.38,35342.14,2025-07-07,No,But,Authority,Majority,Physical,Yes,Doctor,2025-07-24,812323811,Management,Return,17,Lead,JPY,Various,177531688,Karen Rodriguez,740085311,EA,2023-12-18,Adult,EU02,MAT-75647,EMP436943,19,2025-07-06,Pending,820721936,2025-07-07,Member Solution,Usually,2025-07-07,GBP,3327654292,FO,PG82,NA01,866449791,2025-07-24,1,2026-11-09,Closed,CT-6551-IBW,135,141,25,177,145,177,177
EA,6,26,Morocco,9271.06,30786.24,2025-06-24,Yes,Special,Skill,Four,Same,No,Smile,2025-07-07,475009082,Water,Be,43,Require,USD,Out,774404638,Megan Phillips,639214340,EA,2025-05-07,Quality,US01,MAT-74459,EMP692754,76,2025-06-23,Pending,485078836,2025-06-24,Memory Solution,Smile,2025-06-24,EUR,1109644539,FO,PG30,NA01,340266309,2025-07-07,4,2024-09-02,Open,CT-8015-GMQ,188,264,158,268,252,268,268
EA,5,20,Puerto Rico,29617.55,16618.77,2025-05-14,No,House,Feeling,Bag,Military,No,Unit,2025-05-26,312352335,Debate,Gas,55,Popular,JPY,During,242593606,Matthew White,334311724,EA,2024-10-29,Officer,US01,MAT-22152,EMP224965,56,2025-05-13,Released,702593184,2025-05-14,Culture Solution,Country,2025-05-14,USD,8580341292,NB,PG24,NA01,855288001,2025-05-26,4,2026-07-09,Open,CT-3472-PNG,61,85,26,269,318,269,264
EA,11,44,Estonia,1933.08,41729.33,2025-11-02,Yes,Stand,Follow,Song,Total,Yes,Tree,2025-11-27,429237349,Teacher,At,76,Skin,JPY,Owner,656773838,Rachel Gonzales,374295516,EA,2025-10-29,Believe,EU02,MAT-54383,EMP850045,85,2025-11-01,Released,684983875,2025-11-02,Agency Injection,Check,2025-11-02,GBP,7308532701,FO,PG17,NA01,518686311,2025-11-27,2,2026-02-18,Open,CT-3636-AVP,50,159,141,237,335,237,236
EA,8,32,Jordan,47631.57,35615.59,2025-08-06,Yes,Wish,Those,Each,Point,No,Training,2025-09-04,103831744,Race,Occur,23,Million,JPY,This,579882287,Virginia Jenkins,313831857,EA,2023-12-23,Bring,LAT04,MAT-39627,EMP224184,43,2025-08-05,Released,983924672,2025-08-06,Fund Tablet,Clear,2025-08-06,EUR,5560400860,FO,PG25,EU01,199109839,2025-09-04,2,2023-12-15,Closed,CT-5014-EEP,140,36,79,149,188,149,147
EA,5,20,Mauritius,13336.82,16231.47,2025-05-13,Yes,Upon,Both,Strategy,Strategy,No,Admit,2025-05-24,605932385,Ask,Stage,69,Say,JPY,Read,141388443,Caroline Parker,496880693,EA,2024-10-15,Fall,LAT04,MAT-53554,EMP830727,89,2025-05-12,Released,954406640,2025-05-13,They Capsule,Management,2025-05-13,EUR,1220963370,FO,PG99,EU01,724129754,2025-05-24,3,2026-06-26,Closed,CT-5014-EEP,99,84,58,182,233,182,182
EA,7,29,Madagascar,29902.65,15402.81,2025-07-17,No,Theory,Experience,Network,Class,Yes,Much,2025-07-29,625988600,Policy,Away,44,Cost,EUR,Administration,794571692,Laura Gonzalez,299244451,EA,2025-11-04,Generation,EU02,MAT-75647,EMP972111,88,2025-07-16,Pending,236252480,2025-07-17,Member Solution,Place,2025-07-17,EUR,8012175179,FO,PG75,EU01,129713437,2025-07-29,3,2025-06-06,Open,CT-6551-IBW,99,109,26,133,402,133,129
EA,3,12,Barbados,8057.22,27083.44,2025-03-20,No,Business,Little,It,Miss,No,Again,2025-04-16,689501495,Operation,Recognize,70,Sound,USD,Science,911940194,Francisco Campbell,980359343,EA,2023-12-19,Paper,LAT04,MAT-49508,EMP425326,69,2025-03-19,Pending,513748361,2025-03-20,Able Patch,Drive,2025-03-20,GBP,8966909672,FO,PG82,EU01,738197886,2025-04-16,1,2024-01-25,Closed,CT-6592-IDY,209,189,206,263,177,263,259
EA,12,52,Madagascar,8558.4,16651.89,2024-12-24,No,Fine,Those,Compare,Short,Yes,Experience,2025-01-03,204171046,Million,Future,34,Mean,JPY,Party,689953375,Wendy Nelson,425480321,EA,2024-12-15,Determine,EU02,MAT-79992,EMP642271,56,2024-12-23,Released,714157261,2024-12-24,Anyone Tablet,Paper,2024-12-24,GBP,3875167764,NB,PG72,NA01,395860896,2025-01-03,3,2025-11-08,Closed,CT-6551-IBW,77,43,168,168,423,168,167
EA,12,50,Thailand,31574.26,44808.19,2024-12-14,Yes,The,More,Speech,Task,Yes,Operation,2025-01-11,203362738,Deep,Hand,75,Positive,EUR,Leader,329484226,Jason Keith,343655663,EA,2025-10-26,Clear,EU02,MAT-58266,EMP367005,35,2024-12-13,Released,698491225,2024-12-14,Tree Injection,Material,2024-12-14,USD,9786448701,NB,PG93,EU01,914993345,2025-01-11,3,2026-08-20,Closed,CT-3228-ZKT,31,31,8,36,177,36,31
EA,3,12,Dominican Republic,19491.6,31820.17,2025-03-17,Yes,Those,Provide,Hotel,Fast,Yes,Sister,2025-03-31,906184859,Avoid,Area,52,Agree,JPY,Term,826760960,Angel Brown,925176283,EA,2024-07-11,Evidence,US01,MAT-78401,EMP893372,42,2025-03-16,Pending,254865105,2025-03-17,Expect Tablet,Out,2025-03-17,USD,1752044653,FO,PG34,NA01,143177317,2025-03-31,3,2024-05-30,Open,CT-1696-SCY,20,57,107,110,455,110,109
EA,2,6,Burundi,34374.99,13856.67,2025-02-08,Yes,Turn,Suggest,Standard,Must,Yes,Treat,2025-02-25,586267982,Any,Commercial,44,Best,GBP,Vote,206586324,Frederick Allen,913047213,EA,2026-10-15,Human,AP03,MAT-46171,EMP924075,17,2025-02-07,Released,650935193,2025-02-08,Though Solution,Technology,2025-02-08,USD,8247823059,NB,PG41,NA01,578415949,2025-02-25,2,2026-08-07,Open,CT-3636-AVP,71,17,36,114,118,114,113
EA,5,20,Russian Federation,23735.12,10795.14,2025-05-15,No,Throw,Least,American,Season,Yes,Worry,2025-06-14,939274252,Impact,Much,37,State,GBP,Force,584136994,Andrew Walton,481616160,EA,2024-09-30,Method,US01,MAT-22108,EMP258719,68,2025-05-14,Pending,925193964,2025-05-15,Win Injection,Officer,2025-05-15,USD,4196565103,FO,PG18,EU01,980580513,2025-06-14,1,2024-11-16,Closed,CT-6910-RDE,92,172,39,254,325,254,252
EA,12,49,British Virgin Islands,10249.13,19401.19,2024-12-06,Yes,Little,Kitchen,Action,Home,Yes,Window,2024-12-13,186187303,Heavy,Ground,78,Say,JPY,Better,999365162,Audrey Jones,512187451,EA,2024-01-16,Act,LAT04,MAT-22610,EMP474188,66,2024-12-05,Released,408550611,2024-12-06,Us Solution,Throughout,2024-12-06,USD,8883403280,FO,PG64,NA01,396209645,2024-12-13,3,2025-12-05,Open,CT-9771-CZL,6,228,110,230,223,230,228
EA,8,34,Libyan Arab Jamahiriya,14772.9,19277.62,2025-08-23,Yes,Reason,Fine,Join,State,Yes,Him,2025-09-02,449131736,Save,Course,87,Collection,GBP,Blue,199365814,Mary Rodriguez,728805163,EA,2026-04-21,Eight,US01,MAT-73628,EMP195614,48,2025-08-22,Released,500911697,2025-08-23,Health Solution,Size,2025-08-23,EUR,4406896797,NB,PG48,EU01,974540860,2025-09-02,1,2023-11-27,Open,CT-3230-HFO,224,33,170,291,41,291,291
EA,7,29,Cyprus,28141.65,6408.26,2025-07-20,No,Training,Bag,Heart,Rock,No,Back,2025-08-08,241477340,Debate,Media,72,Either,GBP,Notice,227344597,Douglas Simpson,154565634,EA,2026-06-21,Generation,US01,MAT-59372,EMP735618,59,2025-07-19,Pending,158274421,2025-07-20,Issue Patch,Short,2025-07-20,GBP,5692250615,NB,PG21,EU01,509939825,2025-08-08,4,2025-04-04,Closed,CT-7487-KNX,32,36,11,45,499,45,44
EA,7,30,Pakistan,16851.61,17175.02,2025-07-26,Yes,Player,Support,Large,Purpose,No,Section,2025-08-10,300247389,Buy,Million,83,Meeting,GBP,Employee,190867440,Jennifer Bell,713121073,EA,2026-02-16,But,US01,MAT-22108,EMP569382,51,2025-07-25,Pending,789443122,2025-07-26,Win Injection,Response,2025-07-26,GBP,6982050700,FO,PG36,EU01,662257205,2025-08-10,2,2025-01-03,Closed,CT-6910-RDE,143,194,18,235,133,235,233
EA,9,39,Cambodia,17877.5,15044.59,2025-09-25,Yes,Newspaper,Offer,Significant,Lead,No,Firm,2025-10-15,742010389,Though,Accept,64,Soldier,JPY,Few,357299085,Philip Hall,228029331,EA,2024-07-28,Result,LAT04,MAT-66331,EMP858162,78,2025-09-24,Released,180347353,2025-09-25,Step Solution,Lay,2025-09-25,USD,9965884423,FO,PG17,EU01,584249558,2025-10-15,1,2026-08-01,Open,CT-8872-GKR,203,43,167,248,340,248,243
EA,6,27,Puerto Rico,18673.02,30704.87,2025-06-30,No,Region,Increase,Establish,My,Yes,From,2025-07-28,745787398,Good,Discover,80,Other,EUR,Under,592000284,Kevin Santana,914868864,EA,2024-09-23,Arrive,LAT04,MAT-45907,EMP731158,62,2025-06-29,Released,350848540,2025-06-30,Speech Patch,Pattern,2025-06-30,GBP,6988711921,NB,PG94,EU01,169532958,2025-07-28,5,2026-06-22,Open,CT-3472-PNG,17,90,65,186,268,186,184
EA,3,11,Cuba,15122.52,42991.86,2025-03-16,No,Character,Fact,Church,Enjoy,Yes,Agency,2025-04-15,183693015,Response,Rather,76,Month,USD,Star,862931552,Evan Rojas,464358613,EA,2026-04-01,Miss,EU02,MAT-18458,EMP480028,21,2025-03-15,Pending,756082242,2025-03-16,Reason Tablet,Line,2025-03-16,EUR,7887150990,FO,PG72,NA01,982133581,2025-04-15,5,2026-05-15,Open,CT-7487-KNX,96,130,117,202,387,202,199
EA,4,14,Gibraltar,39280.14,21386.55,2025-04-03,No,You,So,Your,West,No,Statement,2025-04-18,352137572,Open,Address,85,Then,JPY,Husband,253663900,Karen Davis,116783514,EA,2025-05-20,Which,US01,MAT-73628,EMP924997,19,2025-04-02,Released,208594862,2025-04-03,Health Solution,Own,2025-04-03,GBP,2062822030,NB,PG46,EU01,358866209,2025-04-18,2,2025-10-28,Closed,CT-3230-HFO,72,46,50,148,241,148,145
EA,10,42,Jersey,12429.26,34726.27,2025-10-14,Yes,Source,Nothing,Realize,Company,No,Treat,2025-10-24,688845492,Simple,Stock,39,Participant,EUR,She,303035227,Holly Hall,670455438,EA,2024-01-31,Dog,AP03,MAT-49651,EMP577892,52,2025-10-13,Pending,752565001,2025-10-14,High Injection,Professional,2025-10-14,GBP,5800193261,NB,PG32,EU01,570809136,2025-10-24,4,2023-12-05,Closed,CT-9831-IEW,29,115,65,172,7,172,170
EA,1,1,Comoros,46255.1,12025.18,2025-01-04,Yes,Discussion,Suggest,Move,Strong,Yes,Cost,2025-01-29,901252579,Feeling,Main,54,Particularly,JPY,Outside,905589654,Frank Bradford,617529758,EA,2023-12-29,Story,US01,MAT-61362,EMP189373,45,2025-01-03,Pending,726024331,2025-01-04,Better Tablet,He,2025-01-04,USD,9020863719,FO,PG29,NA01,329745102,2025-01-29,3,2025-02-22,Open,CT-3228-ZKT,78,116,24,123,424,123,119
EA,7,29,Azerbaijan,15440.67,33888.27,2025-07-15,Yes,You,Eat,Price,Man,Yes,Imagine,2025-07-23,519621961,Different,Behind,24,Appear,EUR,Sure,143184371,Lisa Allen,536650402,EA,2024-11-29,Discussion,LAT04,MAT-53554,EMP552279,44,2025-07-14,Released,782117742,2025-07-15,They Capsule,Find,2025-07-15,GBP,8156141039,FO,PG26,NA01,577047664,2025-07-23,5,2024-01-14,Open,CT-5014-EEP,161,6,170,208,320,208,205
EA,2,8,Tanzania,10078.95,43704.55,2025-02-23,No,Our,Political,Interesting,Another,No,Scientist,2025-03-20,555955176,Yard,Tonight,20,Rise,USD,Plan,851924980,Daniel Christensen,497086699,EA,2024-08-18,Part,LAT04,MAT-16078,EMP866236,59,2025-02-22,Pending,194632906,2025-02-23,Stock Patch,Quite,2025-02-23,USD,5367318794,NB,PG45,NA01,648422272,2025-03-20,5,2026-04-17,Open,CT-9831-IEW,31,54,14,98,158,98,98
