Actual Delivery Date,Item number of purchase requisition,Item number of purchasing document,Material,MRP Controller,Name of requisitioner/requester,Order Number,Plant,Product Description,Purchase Requisition Number,Purchasing document number,Purchasing Organization,Requested Unit of Measure,Requisition Date,Sequential Number of Account Assignment,Vendor,Distribution Percentage,Preq Quantity,Trial Alias
2025-04-05,82,89,MAT-79992,MRP-115,Monica Williams,BE0807F8-705,EU02,Anyone Tablet,PR94672879,1504411973,EU01,EA,2025-03-29,476,V8852746,66.7,179,CT-6551-IBW
2025-02-28,50,51,MAT-31615,MRP-122,Mark Dennis,C863EED3-4DE,EU02,Trouble Capsule,PR60843022,3171523975,EU01,EA,2025-02-13,8,V5566768,91.83,117,CT-9781-BYC
2024-12-31,64,31,MAT-49651,MRP-112,Paul Armstrong,1591A2AC-D6F,AP03,High Injection,PR25828418,2735467468,EU01,EA,2024-12-19,369,V2498296,99.12,17,CT-9831-IEW
2025-04-13,55,38,MAT-66257,MRP-133,William Melton,805781A7-E1A,LAT04,Hundred Solution,PR89098904,6474891864,NA01,EA,2025-04-02,55,V7094384,71.15,224,CT-7484-BIH
2025-09-30,43,10,MAT-16848,MRP-106,Mark Figueroa,13D53FD1-2EA,LAT04,Blue Patch,PR52724975,2511445441,EU01,EA,2025-09-12,144,V5052572,98.7,20,CT-8742-ECD
2025-03-24,52,50,MAT-73628,MRP-138,Cynthia Washington,354C0CEF-9FF,US01,Health Solution,PR79174627,6635747300,EU01,EA,2025-03-05,233,V2826926,28.46,74,CT-3230-HFO
2024-12-17,44,42,MAT-15875,MRP-138,Caleb Clayton,48F49FFF-6F5,EU02,Happy Solution,PR91339157,1642609204,NA01,EA,2024-12-06,382,V1357177,76.24,80,CT-8742-ECD
2025-10-11,48,54,MAT-97442,MRP-101,Dwayne Nicholson,37399508-4AE,EU02,Common Patch,PR31596758,2605433822,EU01,EA,2025-10-03,366,V8361492,11.35,233,CT-2004-PSX
2025-03-19,28,27,MAT-86920,MRP-105,John Burgess,9CBEBD35-414,US01,Various Solution,PR29571086,4184420647,EU01,EA,2025-03-06,446,V9929865,47.17,200,CT-8970-PLO
2025-04-01,41,46,MAT-22108,MRP-102,Gregory Patton,0559EAA9-2EA,US01,Win Injection,PR91485924,3617141394,NA01,EA,2025-03-17,47,V4789676,52.78,49,CT-6910-RDE
2024-12-21,75,35,MAT-47254,MRP-136,Joseph Adams,AAD7229E-CD6,EU02,Article Tablet,PR95199593,4767778411,NA01,EA,2024-12-04,230,V7514314,7.24,216,CT-8742-ECD
2025-01-24,88,34,MAT-54383,MRP-108,Jamie Ward,7ECBBF33-951,EU02,Agency Injection,PR68220359,6224132023,NA01,EA,2025-01-15,206,V3082098,74.74,95,CT-3636-AVP
2025-07-08,85,54,MAT-75647,MRP-124,Colleen Hansen,F892BADA-B88,EU02,Member Solution,PR14544887,4335711003,NA01,EA,2025-06-23,119,V5399955,7.37,181,CT-6551-IBW
2025-07-01,10,40,MAT-74459,MRP-114,James Brown,216A0628-CE4,US01,Memory Solution,PR66409072,8725649591,NA01,EA,2025-06-18,210,V2010023,14.43,276,CT-8015-GMQ
2025-05-28,85,85,MAT-22152,MRP-129,Joshua Sanchez,661396B5-BE2,US01,Culture Solution,PR10444411,4663922242,EU01,EA,2025-05-08,432,V6278604,30.06,274,CT-3472-PNG
2025-11-03,76,69,MAT-54383,MRP-108,Christopher Bates,C1EDEFA4-014,EU02,Agency Injection,PR34807645,3887931952,NA01,EA,2025-10-24,447,V2395556,8.59,247,CT-3636-AVP
2025-08-10,12,72,MAT-39627,MRP-123,Debra Anderson,6779AAB3-F3B,LAT04,Fund Tablet,PR10476118,9070176853,NA01,EA,2025-07-28,164,V5011164,57.48,144,CT-5014-EEP
2025-05-21,12,88,MAT-53554,MRP-103,Aaron Barton,C39FF96A-D71,LAT04,They Capsule,PR39645417,2610289718,EU01,EA,2025-05-04,143,V7295583,96.01,189,CT-5014-EEP
2025-07-14,89,70,MAT-75647,MRP-124,Anna Lucero,23447E8F-F1B,EU02,Member Solution,PR74355283,9140157404,EU01,EA,2025-07-04,65,V5778525,80.17,129,CT-6551-IBW
2025-03-22,29,69,MAT-49508,MRP-116,Autumn Williams,D620F7F5-660,LAT04,Able Patch,PR23106082,9484950345,NA01,EA,2025-03-15,356,V3722711,45.69,260,CT-6592-IDY
2024-12-22,34,76,MAT-79992,MRP-115,Megan Williams,9D1D8DAF-160,EU02,Anyone Tablet,PR62632247,3283459945,EU01,EA,2024-12-09,172,V9460025,63.67,177,CT-6551-IBW
2024-12-12,15,35,MAT-58266,MRP-114,Sarah Hutchinson,CCD65B39-FFB,EU02,Tree Injection,PR66835651,8663477392,NA01,EA,2024-12-04,85,V3860418,71.26,40,CT-3228-ZKT
2025-03-21,77,79,MAT-78401,MRP-103,Robert Cook,D9F20807-A58,US01,Expect Tablet,PR65828834,8499227329,NA01,EA,2025-03-09,112,V1033442,71.29,107,CT-1696-SCY
2025-02-14,11,33,MAT-46171,MRP-136,Willie Palmer,053A9347-DD8,AP03,Though Solution,PR49664547,4943386489,NA01,EA,2025-01-30,58,V9923038,17.98,123,CT-3636-AVP
2025-06-01,76,72,MAT-22108,MRP-102,Cynthia Mills,33A5606D-712,US01,Win Injection,PR40700350,5045778887,EU01,EA,2025-05-12,327,V4019226,79.15,252,CT-6910-RDE
2024-12-19,86,43,MAT-22610,MRP-108,Samuel Fuller,EC2064DF-354,LAT04,Us Solution,PR30313603,1110097920,EU01,EA,2024-12-03,325,V8147696,87.53,231,CT-9771-CZL
2025-08-31,23,80,MAT-73628,MRP-138,Thomas Page,C061C212-E16,US01,Health Solution,PR94326958,8761501773,NA01,EA,2025-08-20,297,V7567171,91.56,298,CT-3230-HFO
2025-07-24,38,51,MAT-59372,MRP-126,Katrina Taylor,333F654A-085,US01,Issue Patch,PR24260989,7382593449,NA01,EA,2025-07-06,327,V6567033,22.31,53,CT-7487-KNX
2025-08-09,89,11,MAT-22108,MRP-102,Teresa Davis,91976714-574,US01,Win Injection,PR93734092,3202743061,NA01,EA,2025-07-22,363,V3362508,47.76,239,CT-6910-RDE
2025-09-29,14,29,MAT-66331,MRP-111,Karen Houston,43A721B6-D4D,LAT04,Step Solution,PR74534396,6353936253,EU01,EA,2025-09-16,437,V8410795,63.17,247,CT-8872-GKR
2025-07-01,89,67,MAT-45907,MRP-115,Peggy Pratt,CDED8377-18B,LAT04,Speech Patch,PR80533062,8373531190,EU01,EA,2025-06-20,50,V7942586,76.45,191,CT-3472-PNG
2025-03-29,15,80,MAT-18458,MRP-102,Cindy Black,E1DECF3D-AD6,EU02,Reason Tablet,PR86534607,7417404503,EU01,EA,2025-03-12,422,V7535066,18.98,209,CT-7487-KNX
2025-03-27,54,80,MAT-73628,MRP-138,Jennifer White,F5EA0FB0-86D,US01,Health Solution,PR26470659,3145441707,EU01,EA,2025-03-22,379,V2016237,49.62,148,CT-3230-HFO
2025-10-08,35,89,MAT-49651,MRP-112,Cheryl Sullivan,A66ABC3D-ED8,AP03,High Injection,PR79294195,9914240363,EU01,EA,2025-10-01,70,V9901738,57.77,178,CT-9831-IEW
2025-01-06,90,90,MAT-61362,MRP-134,Eric Hoover,95696318-323,US01,Better Tablet,PR23212825,7326680932,NA01,EA,2024-12-24,84,V4533694,29.72,121,CT-3228-ZKT
2025-07-11,35,34,MAT-53554,MRP-103,Craig Jackson,A7AEB7DC-2CF,LAT04,They Capsule,PR95428481,7968277634,EU01,EA,2025-07-03,167,V5209283,86.19,215,CT-5014-EEP
2025-02-24,12,39,MAT-16078,MRP-139,Mark Stephens,D4D67F91-29D,LAT04,Stock Patch,PR56939613,7080101952,EU01,EA,2025-02-18,258,V6900550,20.22,99,CT-9831-IEW
2025-08-04,85,25,MAT-84265,MRP-137,Deanna Garner,06816510-E5D,EU02,Help Solution,PR50607596,6754657158,EU01,EA,2025-07-20,221,V9804970,87.19,102,CT-8970-PLO
2024-12-11,78,32,MAT-91309,MRP-118,Terri Campbell,1466B603-499,LAT04,Simply Injection,PR79360510,1841339313,NA01,EA,2024-11-29,481,V4592270,95.35,237,CT-8015-GMQ
2025-03-10,15,40,MAT-98864,MRP-119,Lauren Keller,092A544D-1B7,AP03,Positive Injection,PR87224213,4499075689,EU01,EA,2025-03-01,71,V7047995,64.47,279,CT-9781-BYC
2025-07-26,75,47,MAT-56157,MRP-116,Sandra Johnson,D991D9F7-CFE,EU02,Contain Solution,PR44143907,1566651918,EU01,EA,2025-07-11,71,V4409486,37.13,208,CT-7487-KNX
2025-10-21,41,80,MAT-47140,MRP-111,Scott Keith,79E2FD5B-55E,US01,Side Capsule,PR98682598,9311208945,NA01,EA,2025-10-09,315,V2161695,43.84,39,CT-8742-ECD
2025-06-18,47,45,MAT-22610,MRP-108,Roberto Simmons,B8C67610-950,LAT04,Us Solution,PR57986817,7595113433,EU01,EA,2025-06-03,476,V7566988,68.75,262,CT-9771-CZL
2025-08-05,37,34,MAT-84153,MRP-118,Joan Steele,9E01693A-016,US01,Floor Patch,PR89903012,5645505667,NA01,EA,2025-07-21,412,V8671802,43.94,257,CT-3472-PNG
2025-08-14,56,50,MAT-81584,MRP-136,Jeffrey Richard,6C1C5C9C-E11,US01,Set Solution,PR24531223,4501468702,NA01,EA,2025-07-31,438,V9898968,82.72,19,CT-5806-JWO
2025-02-04,20,35,MAT-59372,MRP-126,Jessica Simpson,43F442CA-654,US01,Issue Patch,PR99826181,6030676395,EU01,EA,2025-01-26,260,V8850419,60.52,289,CT-7487-KNX
2025-01-16,70,27,MAT-81584,MRP-136,Daniel Pratt,19165D8C-A56,US01,Set Solution,PR66090630,8258855759,NA01,EA,2025-01-08,153,V7437804,94.68,122,CT-5806-JWO
2025-09-16,87,11,MAT-39627,MRP-123,Kimberly Patterson,84747643-3B7,LAT04,Fund Tablet,PR30832567,1662206966,NA01,EA,2025-09-05,446,V9608863,4.76,35,CT-5014-EEP
2025-03-24,20,10,MAT-53554,MRP-103,Elizabeth Navarro,1237E7EE-E08,LAT04,They Capsule,PR18283063,4947126977,NA01,EA,2025-03-15,37,V6935409,8.19,25,CT-5014-EEP
2024-12-18,78,90,MAT-40706,MRP-103,Jennifer Anderson,423FCCAC-9C3,US01,Keep Capsule,PR86487125,4511537892,NA01,EA,2024-11-30,59,V8641238,20.46,37,CT-3395-UCM
2024-12-08,56,39,MAT-47986,MRP-130,Katrina Pearson,9313CC9E-3F2,AP03,Experience Tablet,PR56792460,6593236778,EU01,EA,2024-12-03,191,V3799241,28.64,66,CT-4229-AWU
2025-02-13,65,11,MAT-18097,MRP-114,Elizabeth Wall,6EDC0958-393,AP03,Enter Capsule,PR61832238,7793167044,NA01,EA,2025-01-24,69,V9779331,14.61,189,CT-7047-GQC
2025-03-22,11,11,MAT-49508,MRP-116,Andrea Glenn,3927BB78-AC5,LAT04,Able Patch,PR67342248,9206076374,EU01,EA,2025-03-14,347,V2101571,31.45,231,CT-6592-IDY
2025-06-30,67,19,MAT-33775,MRP-113,Jessica Robinson,71D8D50F-7AE,LAT04,Something Patch,PR96509262,8604249481,NA01,EA,2025-06-14,159,V2795369,61.28,193,CT-9831-IEW
2024-11-28,84,59,MAT-54713,MRP-134,Julie Waters,16279966-43F,AP03,Free Solution,PR39828742,1161801647,NA01,EA,2024-11-19,482,V1033148,77.41,149,CT-3230-HFO
2025-08-08,68,61,MAT-16078,MRP-139,Natasha White,3B0FDA9F-884,LAT04,Stock Patch,PR32522136,9855769608,NA01,EA,2025-07-25,71,V8386530,40.52,251,CT-9831-IEW
2025-05-28,81,28,MAT-54383,MRP-108,Jessica Moore,A7510327-2D1,EU02,Agency Injection,PR91700077,2545991826,NA01,EA,2025-05-12,283,V9213905,25.33,176,CT-3636-AVP
2025-04-22,16,75,MAT-58634,MRP-109,Jacqueline Black,CE77A960-CDA,EU02,Impact Patch,PR84087794,9063082171,EU01,EA,2025-04-13,2,V5898245,38.48,286,CT-7047-GQC
2025-10-02,49,77,MAT-22354,MRP-135,James Maynard,13D23ECC-032,LAT04,Light Tablet,PR32320133,6657696796,NA01,EA,2025-09-14,185,V1694721,85.02,256,CT-4229-AWU
2025-09-29,88,86,MAT-30703,MRP-124,Roy Martinez,DB096D51-BDC,AP03,Cold Injection,PR79383735,3725185047,NA01,EA,2025-09-16,294,V8090879,40.53,225,CT-3228-ZKT
2025-08-29,29,67,MAT-53554,MRP-103,Christine Galloway,5B47E6AA-FAF,LAT04,They Capsule,PR22975477,8826599778,EU01,EA,2025-08-14,343,V5780565,8.76,220,CT-5014-EEP
2024-11-21,38,19,MAT-79992,MRP-115,Becky Rhodes,ECA8CBD1-E04,EU02,Anyone Tablet,PR88989549,5148373894,NA01,EA,2024-11-10,205,V6497283,16.97,304,CT-6551-IBW
2025-05-22,30,16,MAT-59372,MRP-126,Michael Schneider,D5E639AD-82A,US01,Issue Patch,PR15862252,5456715203,EU01,EA,2025-05-04,117,V2161218,33.51,260,CT-7487-KNX
2025-03-11,18,70,MAT-97442,MRP-101,Jennifer Erickson,7C05434F-BD5,EU02,Common Patch,PR59985400,2034933522,NA01,EA,2025-02-26,452,V1282999,83.42,73,CT-2004-PSX
2024-12-10,63,28,MAT-40706,MRP-103,Renee Clark,75038E9B-BA2,US01,Keep Capsule,PR80478569,9653240700,NA01,EA,2024-11-20,79,V3920214,88.4,85,CT-3395-UCM
2025-10-28,86,39,MAT-39627,MRP-123,Nicholas Clark,60F22C34-AA2,LAT04,Fund Tablet,PR44501716,2810254650,NA01,EA,2025-10-20,355,V5313933,84.81,203,CT-5014-EEP
2025-06-20,18,64,MAT-32011,MRP-134,Philip Morgan,44597FDE-ED2,EU02,Offer Tablet,PR99495017,5313070861,EU01,EA,2025-06-03,299,V3830244,53.16,113,CT-2004-PSX
2025-06-18,87,27,MAT-86168,MRP-119,David Horn,9853B6AB-C01,AP03,Run Solution,PR46545381,5224109908,NA01,EA,2025-06-12,186,V6163521,63.62,275,CT-6109-EDZ
2025-10-20,48,52,MAT-74459,MRP-114,Ashley Russo,2D1D3AF0-A99,US01,Memory Solution,PR64880149,3273171517,EU01,EA,2025-10-02,64,V1016789,91.7,278,CT-8015-GMQ
2025-07-03,71,59,MAT-60599,MRP-113,John Fields,19B119B0-986,EU02,Traditional Patch,PR64193777,5203751244,NA01,EA,2025-06-17,277,V8686817,37.33,121,CT-2004-PSX
2025-07-19,77,10,MAT-98864,MRP-119,Robert Vega,8733D49D-751,AP03,Positive Injection,PR45709357,8237026652,EU01,EA,2025-07-04,159,V1220409,98.66,92,CT-9781-BYC
2025-05-09,43,48,MAT-86168,MRP-119,Marcus Morgan,DC77B20F-464,AP03,Run Solution,PR90188025,9016634975,NA01,EA,2025-04-23,441,V9358884,59.08,142,CT-6109-EDZ
2025-03-27,42,74,MAT-34899,MRP-107,Jason Mccoy,7BB74C9C-D85,US01,Continue Capsule,PR26971408,3276328387,EU01,EA,2025-03-18,499,V8341993,55.01,49,CT-3395-UCM
2025-10-12,17,69,MAT-98864,MRP-119,Garrett Shah,3FCA798E-FD6,AP03,Positive Injection,PR87904044,4260308978,NA01,EA,2025-09-29,489,V2306383,70.83,59,CT-9781-BYC
2025-03-22,43,67,MAT-78401,MRP-103,Katherine Snyder,B83CFAB5-B68,US01,Expect Tablet,PR33835458,1925357720,NA01,EA,2025-03-03,209,V6181989,15.66,261,CT-1696-SCY
2025-04-07,12,64,MAT-23246,MRP-119,Maria Atkins,6BF20FDB-A43,US01,Type Injection,PR92295988,6021678142,NA01,EA,2025-03-22,275,V5258472,33.86,71,CT-8872-GKR
2025-07-29,69,26,MAT-47140,MRP-111,Courtney Quinn,835C170B-558,US01,Side Capsule,PR71291271,2381465857,NA01,EA,2025-07-20,273,V2597494,86.74,174,CT-8742-ECD
2025-07-14,18,73,MAT-86168,MRP-119,Autumn Hill,88D93C9A-BB6,AP03,Run Solution,PR11368963,1726291038,NA01,EA,2025-07-01,8,V2164371,26.46,148,CT-6109-EDZ
2025-07-27,20,56,MAT-91309,MRP-118,Latoya Sanchez,81962565-3BA,LAT04,Simply Injection,PR35733394,4195977037,NA01,EA,2025-07-10,350,V7154066,6.05,164,CT-8015-GMQ
2025-01-17,52,76,MAT-45907,MRP-115,Heather Williams,84171620-97D,LAT04,Speech Patch,PR45456471,2363533853,EU01,EA,2025-01-08,268,V9723471,78.62,21,CT-3472-PNG
2025-03-25,85,67,MAT-47986,MRP-130,Bryan Morgan,276063F6-554,AP03,Experience Tablet,PR28481875,6868566740,EU01,EA,2025-03-11,180,V8613777,55.69,22,CT-4229-AWU
2025-01-11,27,49,MAT-37872,MRP-110,Rebecca Goodman,4D00FA38-F44,AP03,Effort Capsule,PR19897324,2122446306,EU01,EA,2025-01-02,426,V9900378,33.83,277,CT-1816-RCG
2024-12-06,23,59,MAT-58266,MRP-114,Matthew Martin,B9D604CE-B27,EU02,Tree Injection,PR10429985,8369498525,NA01,EA,2024-11-26,374,V5692323,60.75,260,CT-3228-ZKT
2024-12-25,33,20,MAT-46171,MRP-136,Carrie White,88381E6F-DB8,AP03,Though Solution,PR13002195,5270694728,EU01,EA,2024-12-13,187,V7291589,1.46,59,CT-3636-AVP
2025-10-13,11,82,MAT-14115,MRP-135,Scott Vance,F82FA87C-017,EU02,Property Tablet,PR73019516,8154198332,NA01,EA,2025-10-02,89,V3309812,20.13,197,CT-1696-SCY
2024-12-01,46,34,MAT-31615,MRP-122,Kimberly Flores,0B269C0B-68B,EU02,Trouble Capsule,PR98016643,9759041632,NA01,EA,2024-11-24,475,V3288484,94.85,230,CT-9781-BYC
2025-02-17,59,33,MAT-59372,MRP-126,Ashley Smith,53E512B4-F07,US01,Issue Patch,PR59462589,2502878342,EU01,EA,2025-02-06,475,V7609506,31.67,57,CT-7487-KNX
2025-06-13,31,76,MAT-68176,MRP-137,Clifford Williams,21ED0BE4-ED0,EU02,Treat Tablet,PR82540456,4409105417,NA01,EA,2025-05-28,57,V6950877,34.11,164,CT-3230-HFO
2025-08-05,22,76,MAT-58634,MRP-109,Brittany Wright,C9553C30-3C9,EU02,Impact Patch,PR78429236,3850169897,NA01,EA,2025-07-17,172,V1723509,40.53,68,CT-7047-GQC
2025-01-25,84,36,MAT-22152,MRP-129,Jeffrey Coleman,C93ED8AD-5FB,US01,Culture Solution,PR67195481,4030830334,EU01,EA,2025-01-11,15,V4556552,76.97,160,CT-3472-PNG
2025-05-12,29,23,MAT-49651,MRP-112,Brian Ferguson,56F016D1-42A,AP03,High Injection,PR47627159,1533692956,EU01,EA,2025-04-24,37,V3452264,71.84,218,CT-9831-IEW
2025-04-16,29,31,MAT-82814,MRP-110,Ronald Smith,DC6732A6-B32,LAT04,Reduce Solution,PR98370889,2744355326,NA01,EA,2025-04-06,333,V4053323,28.57,247,CT-3395-UCM
2025-06-21,86,38,MAT-55297,MRP-134,Jennifer Matthews,1C290466-294,EU02,New Solution,PR96631022,1284992405,NA01,EA,2025-06-07,267,V4325071,71.76,244,CT-1816-RCG
2025-07-27,80,75,MAT-37872,MRP-110,Theresa Hudson,302EBFD8-75D,AP03,Effort Capsule,PR32286670,6779549501,NA01,EA,2025-07-13,7,V5817621,92.31,22,CT-1816-RCG
2024-12-02,44,17,MAT-66257,MRP-133,Amy Ferguson,137379DF-53E,LAT04,Hundred Solution,PR44244388,6217104402,NA01,EA,2024-11-22,178,V1372866,70.41,205,CT-7484-BIH
2025-06-23,48,76,MAT-78401,MRP-103,Nancy Williams,E70B0CD9-41B,US01,Expect Tablet,PR98083730,4998620212,EU01,EA,2025-06-04,400,V1378019,72.54,239,CT-1696-SCY
2025-06-06,34,35,MAT-66257,MRP-133,Michelle Welch,C3C4CA8C-DA3,LAT04,Hundred Solution,PR77363954,5988169425,EU01,EA,2025-05-22,496,V1638407,82.92,265,CT-7484-BIH
2025-04-12,11,40,MAT-22610,MRP-108,Kevin Davis,7D85A9BB-51A,LAT04,Us Solution,PR77208537,1221111184,NA01,EA,2025-04-03,312,V7239716,97.6,177,CT-9771-CZL
2025-02-16,10,60,MAT-74459,MRP-114,Robert Jones,9F746DC7-45B,US01,Memory Solution,PR13871761,4279206873,NA01,EA,2025-01-29,282,V6574463,32.15,163,CT-8015-GMQ
2025-02-09,62,35,MAT-53554,MRP-103,Anthony Morris,F07DEB5E-390,LAT04,They Capsule,PR65904375,3435186384,NA01,EA,2025-01-30,142,V1988364,90.03,51,CT-5014-EEP
2025-08-09,80,71,MAT-14115,MRP-135,Amanda Murphy,DA07F536-CAB,EU02,Property Tablet,PR81540420,9041045451,EU01,EA,2025-07-25,315,V6892911,8.29,76,CT-1696-SCY
2025-10-01,84,40,MAT-68176,MRP-137,William Anderson,2F2C7D94-2CE,EU02,Treat Tablet,PR47985232,1926650629,EU01,EA,2025-09-25,488,V4530918,28.42,18,CT-3230-HFO
2025-05-23,76,31,MAT-32011,MRP-134,Emily Rose,46866D25-F7F,EU02,Offer Tablet,PR65104502,4952938730,NA01,EA,2025-05-06,216,V1120390,3.28,276,CT-2004-PSX
2025-05-23,83,84,MAT-53554,MRP-103,Patrick Hernandez,657B8A24-549,LAT04,They Capsule,PR11701868,9243473048,EU01,EA,2025-05-06,179,V9779707,30.17,231,CT-5014-EEP
2025-04-02,81,85,MAT-82398,MRP-137,Kevin Crane,721F5CBB-8FF,EU02,Range Solution,PR43622042,9245401690,NA01,EA,2025-03-17,24,V6024386,0.5,53,CT-8970-PLO
2025-06-29,76,73,MAT-30745,MRP-133,Katherine Sullivan,3C28F46E-D2C,US01,Indicate Patch,PR40911590,8860415978,NA01,EA,2025-06-09,7,V1418334,9.41,299,CT-4229-AWU
2025-02-19,15,59,MAT-39627,MRP-123,Edwin Sandoval,B4AACE38-46A,LAT04,Fund Tablet,PR44106156,3191369443,EU01,EA,2025-02-14,409,V7209397,78.91,172,CT-5014-EEP
2025-02-06,55,54,MAT-18458,MRP-102,Michael Fox,40399FB4-B0C,EU02,Reason Tablet,PR73373401,7329453085,NA01,EA,2025-01-18,223,V6578914,40.27,68,CT-7487-KNX
2025-04-02,53,31,MAT-18409,MRP-137,Cristina Aguilar,7B08EEA7-A6C,AP03,Commercial Tablet,PR27320781,4518765451,NA01,EA,2025-03-18,212,V3964248,29.44,235,CT-3228-ZKT
2025-02-01,40,30,MAT-47254,MRP-136,Crystal Stein,7697D79B-3FA,EU02,Article Tablet,PR27627577,4296133087,EU01,EA,2025-01-19,137,V8338152,26.93,246,CT-8742-ECD
2025-01-04,84,63,MAT-93544,MRP-123,Andrew Jackson,30986C0B-785,LAT04,Player Solution,PR34677639,2083515082,EU01,EA,2024-12-29,102,V9785849,73.09,289,CT-9771-CZL
2025-07-20,26,84,MAT-40089,MRP-126,Sarah Vaughn,E09D9D69-D6E,EU02,Pull Patch,PR95430831,5834520343,NA01,EA,2025-07-14,335,V3573855,45.45,51,CT-4229-AWU
2025-10-14,64,28,MAT-15875,MRP-138,Diane Hernandez,272CA541-8B2,EU02,Happy Solution,PR41166277,4577533179,EU01,EA,2025-10-02,362,V9647424,62.62,208,CT-8742-ECD
2025-08-08,16,75,MAT-55297,MRP-134,James Mitchell,0DB649CA-F40,EU02,New Solution,PR20863567,6321551579,NA01,EA,2025-07-21,11,V6664528,22.41,158,CT-1816-RCG
2025-06-04,76,34,MAT-37872,MRP-110,Calvin Strong,E7347777-52D,AP03,Effort Capsule,PR98287983,8683192766,EU01,EA,2025-05-30,289,V5346505,83.86,97,CT-1816-RCG
2024-12-29,43,10,MAT-16848,MRP-106,Benjamin Mathews,3FF3E6F8-274,LAT04,Blue Patch,PR46749962,5169192970,NA01,EA,2024-12-15,169,V3076773,78.42,24,CT-8742-ECD
2025-01-04,72,45,MAT-37872,MRP-110,Heather Vazquez,DC052809-D93,AP03,Effort Capsule,PR50627053,4458632899,NA01,EA,2024-12-30,259,V7048391,98.5,222,CT-1816-RCG
2024-12-11,61,32,MAT-37872,MRP-110,Brandon Matthews,26C6F3AA-518,AP03,Effort Capsule,PR55456908,3565193255,EU01,EA,2024-11-21,444,V4351992,86.86,254,CT-1816-RCG
2025-10-29,66,80,MAT-42350,MRP-130,Phillip Villa,BEBE3F6F-617,AP03,Figure Capsule,PR23938738,7061416367,EU01,EA,2025-10-17,133,V3870984,5.72,239,CT-5806-JWO
